iter	Passed	Remaining
781	1752	488
782	1754	486
783	1757	484
784	1759	481
785	1761	479
786	1763	477
787	1765	475
788	1767	472
789	1769	470
790	1771	468
791	1773	465
792	1775	463
793	1778	461
794	1780	459
795	1782	456
796	1784	454
797	1786	452
798	1788	450
799	1791	447
800	1793	445
801	1795	443
802	1797	440
803	1799	438
804	1801	436
805	1803	434
806	1805	431
807	1807	429
808	1810	427
809	1812	425
810	1814	422
811	1816	420
812	1818	418
813	1820	416
814	1823	413
815	1825	411
816	1827	409
817	1829	407
818	1831	404
819	1833	402
820	1836	400
821	1838	398
822	1840	395
823	1842	393
824	1845	391
825	1847	389
826	1849	386
827	1851	384
828	1853	382
829	1855	380
830	1857	377
831	1859	375
832	1861	373
833	1864	371
834	1866	368
835	1868	366
836	1870	364
837	1872	362
838	1874	359
839	1876	357
840	1879	355
841	1881	353
842	1883	350
843	1885	348
844	1887	346
845	1889	344
846	1892	341
847	1894	339
848	1896	337
849	1898	335
850	1900	332
851	1902	330
852	1904	328
853	1906	326
854	1909	323
855	1911	321
856	1913	319
857	1915	317
858	1917	314
859	1919	312
860	1921	310
861	1924	308
862	1926	305
863	1928	303
864	1930	301
865	1932	299
866	1935	296
867	1937	294
868	1939	292
869	1941	290
870	1943	287
871	1946	285
872	1948	283
873	1950	281
874	1952	278
875	1954	276
876	1956	274
877	1958	272
878	1960	269
879	1962	267
880	1965	265
881	1967	263
882	1969	260
883	1971	258
884	1973	256
885	1975	254
886	1978	252
887	1980	249
888	1982	247
889	1984	245
890	1986	243
891	1988	240
892	1990	238
893	1992	236
894	1995	234
895	1997	231
896	1999	229
897	2001	227
898	2003	225
899	2005	222
900	2007	220
901	2009	218
902	2011	216
903	2013	213
904	2016	211
905	2018	209
906	2020	207
907	2022	204
908	2024	202
909	2027	200
910	2029	198
911	2031	196
912	2033	193
913	2035	191
914	2037	189
915	2040	187
916	2042	184
917	2044	182
918	2046	180
919	2048	178
920	2050	175
921	2052	173
922	2054	171
923	2057	169
924	2059	166
925	2061	164
926	2063	162
927	2065	160
928	2067	158
929	2069	155
930	2071	153
931	2073	151
932	2076	149
933	2078	146
934	2080	144
935	2082	142
936	2084	140
937	2086	137
938	2088	135
939	2090	133
940	2093	131
941	2095	129
942	2097	126
943	2099	124
944	2101	122
945	2103	120
946	2105	117
947	2107	115
948	2110	113
949	2112	111
950	2114	108
951	2116	106
952	2118	104
953	2120	102
954	2122	100
955	2124	97
956	2126	95
957	2129	93
958	2131	91
959	2133	88
960	2135	86
961	2137	84
962	2139	82
963	2142	79
964	2144	77
965	2146	75
966	2148	73
967	2150	71
968	2152	68
969	2154	66
970	2156	64
971	2158	62
972	2161	59
973	2163	57
974	2165	55
975	2167	53
976	2169	51
977	2171	48
978	2173	46
979	2175	44
980	2178	42
981	2180	39
982	2182	37
983	2184	35
984	2186	33
985	2188	31
986	2190	28
987	2193	26
988	2195	24
989	2197	22
990	2199	19
991	2201	17
992	2203	15
993	2206	13
994	2208	11
995	2210	8
996	2212	6
997	2214	4
998	2217	2
999	2219	0
