iter	Accuracy	MultiClass
261	0.9907621247	0.09013786363
262	0.9907621247	0.08969224665
263	0.9907621247	0.08945405475
264	0.9907621247	0.08917391194
265	0.9907621247	0.08889913368
266	0.9907621247	0.08830765429
267	0.9907621247	0.08820010432
268	0.9907621247	0.08792310416
269	0.9907621247	0.0878114946
270	0.9907621247	0.0875448619
271	0.9907621247	0.08735120921
272	0.9907621247	0.08646240362
273	0.9907621247	0.08620407064
274	0.9907621247	0.08588097238
275	0.9907621247	0.08534555287
276	0.9907621247	0.08524577727
277	0.9907621247	0.08488285334
278	0.9907621247	0.08437473997
279	0.9907621247	0.08393225113
280	0.9907621247	0.0835912818
281	0.9907621247	0.08338784757
282	0.9907621247	0.0826872242
283	0.9907621247	0.08224424134
284	0.9907621247	0.08216323431
285	0.9907621247	0.08174004088
286	0.9907621247	0.08154119435
287	0.9907621247	0.08130520728
288	0.9907621247	0.08067958233
